x,y,color,row,column,isHorizontal,width,height,angle(rad)
89, 21, 1, 0, 1, True,8,21,0.14074932597220072
114, 25, -1, 0, 3, True,8,21,0.14074932597220058
140, 29, 1, 0, 5, True,8,21,0.14074932597220058
165, 32, -1, 0, 7, True,8,21,0.14074932597220058
190, 36, -1, 0, 9, True,8,21,0.14074932597220086
216, 39, -1, 0, 11, True,8,21,0.14074932597220058
241, 43, 1, 0, 13, True,8,21,0.1407493259722003
266, 47, -1, 0, 15, True,8,21,0.14074932597220052
292, 50, 1, 0, 17, True,8,21,0.14074932597220022
317, 54, -1, 0, 19, True,8,21,0.1407493259721997
342, 57, 1, 0, 21, True,8,21,0.14074932597220086
368, 61, -1, 0, 23, True,8,21,0.14074932597220086
393, 65, -1, 0, 25, True,8,21,0.1407493259722003
419, 68, 1, 0, 27, True,8,21,0.14074932597220086
444, 72, -1, 0, 29, True,8,21,0.1407493259722003
469, 75, -1, 0, 31, True,8,21,0.1407493259722003
74, 32, 1, 1, 0, False,8,21,0.14079714282918013
99, 36, -1, 1, 2, False,8,21,0.14079714282917968
124, 40, 1, 1, 4, False,8,21,0.14079714282918013
150, 43, -1, 1, 6, False,8,21,0.14079714282918013
175, 47, 1, 1, 8, False,8,21,0.14079714282918013
201, 50, -1, 1, 10, False,8,21,0.14079714282917957
226, 54, 1, 1, 12, False,8,21,0.14079714282918013
251, 58, -1, 1, 14, False,8,21,0.14079714282918004
277, 61, 1, 1, 16, False,8,21,0.14079714282918013
302, 65, -1, 1, 18, False,8,21,0.14079714282917957
327, 68, 1, 1, 20, False,8,21,0.14079714282917957
353, 72, -1, 1, 22, False,8,21,0.14079714282918065
378, 76, 1, 1, 24, False,8,21,0.14079714282918065
404, 79, 1, 1, 26, False,8,21,0.14079714282917957
429, 83, -1, 1, 28, False,8,21,0.14079714282917957
454, 86, -1, 1, 30, False,8,21,0.14079714282917957
480, 90, 1, 1, 32, False,8,21,0.14079714282918065
84, 47, -1, 2, 1, True,8,21,0.14084494098339684
109, 51, 1, 2, 3, True,8,21,0.14084494098339684
135, 54, -1, 2, 5, True,8,21,0.14084494098339684
160, 58, 1, 2, 7, True,8,21,0.14084494098339737
185, 62, -1, 2, 9, True,8,21,0.14084494098339737
211, 65, 1, 2, 11, True,8,21,0.14084494098339737
236, 69, -1, 2, 13, True,8,21,0.14084494098339684
262, 72, 1, 2, 15, True,8,21,0.14084494098339628
287, 76, 1, 2, 17, True,8,21,0.14084494098339737
312, 79, 1, 2, 19, True,8,21,0.1408449409833957
338, 83, -1, 2, 21, True,8,21,0.14084494098339675
363, 87, -1, 2, 23, True,8,21,0.1408449409833957
388, 90, 1, 2, 25, True,8,21,0.1408449409833957
414, 94, -1, 2, 27, True,8,21,0.14084494098339675
439, 97, -1, 2, 29, True,8,21,0.14084494098339692
465, 101, 1, 2, 31, True,8,21,0.14084494098339798
69, 58, -1, 3, 0, False,8,21,0.1408927204456033
94, 62, -1, 3, 2, False,8,21,0.14089272044560347
120, 65, -1, 3, 4, False,8,21,0.1408927204456033
145, 69, 1, 3, 6, False,8,21,0.14089272044560316
170, 73, -1, 3, 8, False,8,21,0.14089272044560294
196, 76, 1, 3, 10, False,8,21,0.14089272044560294
221, 80, -1, 3, 12, False,8,21,0.14089272044560233
247, 83, 1, 3, 14, False,8,21,0.14089272044560294
272, 87, 1, 3, 16, False,8,21,0.14089272044560294
297, 91, -1, 3, 18, False,8,21,0.14089272044560233
323, 94, -1, 3, 20, False,8,21,0.14089272044560402
348, 98, -1, 3, 22, False,8,21,0.14089272044560294
373, 101, 1, 3, 24, False,8,21,0.14089272044560402
399, 105, 1, 3, 26, False,8,21,0.14089272044560294
424, 109, -1, 3, 28, False,8,21,0.14089272044560402
450, 112, 1, 3, 30, False,8,21,0.14089272044560294
475, 116, 1, 3, 32, False,8,21,0.14089272044560402
79, 73, 1, 4, 1, True,8,21,0.14094048122654482
105, 76, -1, 4, 3, True,8,21,0.14094048122654498
130, 80, -1, 4, 5, True,8,21,0.14094048122654482
155, 84, -1, 4, 7, True,8,21,0.14094048122654393
181, 87, 1, 4, 9, True,8,21,0.14094048122654468
206, 91, -1, 4, 11, True,8,21,0.14094048122654498
231, 94, 1, 4, 13, True,8,21,0.14094048122654468
257, 98, -1, 4, 15, True,8,21,0.1409404812265436
282, 102, -1, 4, 17, True,8,21,0.14094048122654393
308, 105, -1, 4, 19, True,8,21,0.1409404812265444
333, 109, 1, 4, 21, True,8,21,0.14094048122654498
358, 112, -1, 4, 23, True,8,21,0.14094048122654498
384, 116, -1, 4, 25, True,8,21,0.1409404812265433
409, 120, -1, 4, 27, True,8,21,0.14094048122654393
434, 123, 1, 4, 29, True,8,21,0.14094048122654498
460, 127, 1, 4, 31, True,8,21,0.14094048122654393
64, 84, 1, 5, 0, False,8,21,0.14098822333695654
89, 88, -1, 5, 2, False,8,21,0.14098822333695543
115, 91, 1, 5, 4, False,8,21,0.14098822333695654
140, 95, -1, 5, 6, False,8,21,0.14098822333695638
166, 98, 1, 5, 8, False,8,21,0.1409882233369556
191, 102, -1, 5, 10, False,8,21,0.14098822333695638
216, 106, 1, 5, 12, False,8,21,0.1409882233369556
242, 109, -1, 5, 14, False,8,21,0.140988223336955
267, 113, 1, 5, 16, False,8,21,0.14098822333695668
292, 116, -1, 5, 18, False,8,21,0.140988223336955
318, 120, 1, 5, 20, False,8,21,0.1409882233369556
343, 124, -1, 5, 22, False,8,21,0.14098822333695607
369, 127, 1, 5, 24, False,8,21,0.1409882233369556
394, 131, 1, 5, 26, False,8,21,0.1409882233369556
419, 134, 1, 5, 28, False,8,21,0.14098822333695668
445, 138, -1, 5, 30, False,8,21,0.14098822333695607
470, 142, 1, 5, 32, False,8,21,0.14098822333695668
74, 99, -1, 6, 1, True,8,21,0.14103594678756723
100, 102, 1, 6, 3, True,8,21,0.14103594678756706
125, 106, -1, 6, 5, True,8,21,0.14103594678756598
150, 109, 1, 6, 7, True,8,21,0.14103594678756706
176, 113, -1, 6, 9, True,8,21,0.14103594678756629
201, 117, 1, 6, 11, True,8,21,0.14103594678756737
227, 120, -1, 6, 13, True,8,21,0.14103594678756737
252, 124, 1, 6, 15, True,8,21,0.14103594678756737
277, 127, -1, 6, 17, True,8,21,0.14103594678756676
303, 131, 1, 6, 19, True,8,21,0.14103594678756676
328, 135, -1, 6, 21, True,8,21,0.14103594678756798
354, 138, 1, 6, 23, True,8,21,0.14103594678756584
