x,y,color,row,column,isHorizontal,width,height,angle(rad)
94, 22, 1, 0, 1, True,8,17,0.155642491283397
112, 25, -1, 0, 3, True,8,17,0.15564249128339722
130, 28, 1, 0, 5, True,8,17,0.155642491283397
149, 31, -1, 0, 7, True,8,17,0.1556424912833971
167, 34, 1, 0, 9, True,8,17,0.15564249128339722
185, 37, -1, 0, 11, True,8,17,0.15564249128339758
204, 40, 1, 0, 13, True,8,17,0.1556424912833971
222, 42, -1, 0, 15, True,8,17,0.1556424912833964
240, 45, 1, 0, 17, True,8,17,0.15564249128339758
259, 48, -1, 0, 19, True,8,17,0.1556424912833971
277, 51, 1, 0, 21, True,8,17,0.1556424912833973
295, 54, -1, 0, 23, True,8,17,0.1556424912833971
314, 57, 1, 0, 25, True,8,17,0.1556424912833971
332, 60, -1, 0, 27, True,8,17,0.1556424912833971
350, 63, 1, 0, 29, True,8,17,0.1556424912833971
369, 65, -1, 0, 31, True,8,17,0.1556424912833966
387, 68, 1, 0, 33, True,8,17,0.15564249128339783
405, 71, -1, 0, 35, True,8,17,0.1556424912833964
424, 74, 1, 0, 37, True,8,17,0.1556424912833973
442, 77, -1, 0, 39, True,8,17,0.15564249128339783
83, 30, 1, 1, 0, False,8,17,0.1560221125336771
101, 33, -1, 1, 2, False,8,17,0.15602211253367745
120, 36, 1, 1, 4, False,8,17,0.15602211253367723
138, 39, -1, 1, 6, False,8,17,0.15602211253367687
156, 42, 1, 1, 8, False,8,17,0.15602211253367732
175, 45, -1, 1, 10, False,8,17,0.15602211253367687
193, 47, 1, 1, 12, False,8,17,0.15602211253367732
211, 50, -1, 1, 14, False,8,17,0.156022112533678
230, 53, 1, 1, 16, False,8,17,0.15602211253367732
248, 56, -1, 1, 18, False,8,17,0.15602211253367732
266, 59, 1, 1, 20, False,8,17,0.15602211253367687
285, 62, -1, 1, 22, False,8,17,0.15602211253367598
303, 65, 1, 1, 24, False,8,17,0.15602211253367776
321, 68, -1, 1, 26, False,8,17,0.15602211253367707
340, 71, 1, 1, 28, False,8,17,0.15602211253367668
358, 73, -1, 1, 30, False,8,17,0.1560221125336753
376, 76, 1, 1, 32, False,8,17,0.15602211253367848
395, 79, -1, 1, 34, False,8,17,0.15602211253367707
413, 82, 1, 1, 36, False,8,17,0.1560221125336753
431, 85, -1, 1, 38, False,8,17,0.15602211253367848
450, 88, 1, 1, 40, False,8,17,0.15602211253367707
90, 41, -1, 2, 1, True,8,17,0.15640156244825248
109, 44, 1, 2, 3, True,8,17,0.1564015624482518
127, 47, -1, 2, 5, True,8,17,0.15640156244825223
145, 50, 1, 2, 7, True,8,17,0.1564015624482527
164, 52, -1, 2, 9, True,8,17,0.15640156244825223
182, 55, 1, 2, 11, True,8,17,0.15640156244825199
200, 58, -1, 2, 13, True,8,17,0.1564015624482527
219, 61, 1, 2, 15, True,8,17,0.15640156244825223
237, 64, -1, 2, 17, True,8,17,0.15640156244825312
255, 67, 1, 2, 19, True,8,17,0.15640156244825223
274, 70, -1, 2, 21, True,8,17,0.15640156244825457
292, 73, 1, 2, 23, True,8,17,0.15640156244825223
310, 76, -1, 2, 25, True,8,17,0.15640156244825223
329, 78, 1, 2, 27, True,8,17,0.15640156244825174
347, 81, -1, 2, 29, True,8,17,0.15640156244825082
365, 84, 1, 2, 31, True,8,17,0.15640156244825312
384, 87, -1, 2, 33, True,8,17,0.15640156244825223
402, 90, 1, 2, 35, True,8,17,0.15640156244825223
420, 93, -1, 2, 37, True,8,17,0.15640156244825368
439, 96, 1, 2, 39, True,8,17,0.15640156244825223
79, 49, -1, 3, 0, False,8,17,0.15678084103389603
98, 52, 1, 3, 2, False,8,17,0.15678084103389603
116, 54, -1, 3, 4, False,8,17,0.15678084103389603
134, 57, 1, 3, 6, False,8,17,0.15678084103389697
153, 60, -1, 3, 8, False,8,17,0.15678084103389583
171, 63, 1, 3, 10, False,8,17,0.15678084103389628
189, 66, -1, 3, 12, False,8,17,0.15678084103389653
208, 69, 1, 3, 14, False,8,17,0.1567808410338977
226, 72, -1, 3, 16, False,8,17,0.15678084103389583
244, 75, 1, 3, 18, False,8,17,0.15678084103389672
263, 78, -1, 3, 20, False,8,17,0.15678084103389442
281, 81, 1, 3, 22, False,8,17,0.15678084103389672
299, 83, -1, 3, 24, False,8,17,0.15678084103389583
318, 86, 1, 3, 26, False,8,17,0.15678084103389672
336, 89, -1, 3, 28, False,8,17,0.15678084103389722
354, 92, 1, 3, 30, False,8,17,0.1567808410338981
373, 95, -1, 3, 32, False,8,17,0.15678084103389583
391, 98, 1, 3, 34, False,8,17,0.15678084103389583
409, 101, -1, 3, 36, False,8,17,0.15678084103389442
428, 104, 1, 3, 38, False,8,17,0.15678084103389672
446, 107, -1, 3, 40, False,8,17,0.15678084103389583
87, 59, 1, 4, 1, True,8,17,0.1571599482975742
105, 62, -1, 4, 3, True,8,17,0.15715994829757401
123, 65, 1, 4, 5, True,8,17,0.15715994829757401
142, 68, -1, 4, 7, True,8,17,0.1571599482975733
160, 71, 1, 4, 9, True,8,17,0.15715994829757376
178, 74, -1, 4, 11, True,8,17,0.1571599482975747
197, 77, 1, 4, 13, True,8,17,0.1571599482975733
215, 80, -1, 4, 15, True,8,17,0.15715994829757515
233, 83, 1, 4, 17, True,8,17,0.1571599482975733
252, 86, -1, 4, 19, True,8,17,0.15715994829757285
270, 89, 1, 4, 21, True,8,17,0.1571599482975747
289, 91, -1, 4, 23, True,8,17,0.15715994829757418
307, 94, 1, 4, 25, True,8,17,0.1571599482975756
325, 97, -1, 4, 27, True,8,17,0.1571599482975733
344, 100, 1, 4, 29, True,8,17,0.15715994829757382
362, 103, -1, 4, 31, True,8,17,0.1571599482975756
380, 106, 1, 4, 33, True,8,17,0.15715994829757418
399, 109, -1, 4, 35, True,8,17,0.1571599482975756
417, 112, 1, 4, 37, True,8,17,0.1571599482975724
435, 115, -1, 4, 39, True,8,17,0.1571599482975756
76, 67, 1, 5, 0, False,8,17,0.15753888424644202
94, 70, -1, 5, 2, False,8,17,0.1575388842464406
112, 73, 1, 5, 4, False,8,17,0.15753888424644202
131, 76, -1, 5, 6, False,8,17,0.1575388842464418
149, 79, 1, 5, 8, False,8,17,0.15753888424644083
168, 82, -1, 5, 10, False,8,17,0.1575388842464418
186, 85, 1, 5, 12, False,8,17,0.15753888424644039
204, 88, -1, 5, 14, False,8,17,0.15753888424644039
223, 91, 1, 5, 16, False,8,17,0.1575388842464418
241, 93, -1, 5, 18, False,8,17,0.15753888424644225
259, 96, 1, 5, 20, False,8,17,0.1575388842464427
278, 99, -1, 5, 22, False,8,17,0.1575388842464418
296, 102, 1, 5, 24, False,8,17,0.1575388842464409
314, 105, -1, 5, 26, False,8,17,0.1575388842464418
333, 108, 1, 5, 28, False,8,17,0.1575388842464418
351, 111, -1, 5, 30, False,8,17,0.1575388842464427
369, 114, 1, 5, 32, False,8,17,0.15753888424644039
388, 117, -1, 5, 34, False,8,17,0.1575388842464418
406, 120, 1, 5, 36, False,8,17,0.1575388842464418
424, 123, -1, 5, 38, False,8,17,0.15753888424644039
443, 126, 1, 5, 40, False,8,17,0.15753888424644127
83, 78, -1, 6, 1, True,8,17,0.15791764888784476
102, 81, 1, 6, 3, True,8,17,0.15791764888784476
120, 84, -1, 6, 5, True,8,17,0.15791764888784476
138, 87, 1, 6, 7, True,8,17,0.1579176488878431
157, 90, -1, 6, 9, True,8,17,0.15791764888784451
175, 93, 1, 6, 11, True,8,17,0.15791764888784451
193, 96, -1, 6, 13, True,8,17,0.15791764888784451
212, 98, 1, 6, 15, True,8,17,0.15791764888784357
230, 101, -1, 6, 17, True,8,17,0.15791764888784451
248, 104, 1, 6, 19, True,8,17,0.15791764888784407
267, 107, -1, 6, 21, True,8,17,0.15791764888784451
285, 110, 1, 6, 23, True,8,17,0.15791764888784451
303, 113, -1, 6, 25, True,8,17,0.15791764888784543
322, 116, 1, 6, 27, True,8,17,0.15791764888784543
340, 119, -1, 6, 29, True,8,17,0.15791764888784543
358, 122, 1, 6, 31, True,8,17,0.15791764888784363
377, 125, -1, 6, 33, True,8,17,0.15791764888784363
395, 128, 1, 6, 35, True,8,17,0.15791764888784363
413, 131, -1, 6, 37, True,8,17,0.15791764888784543
432, 134, 1, 6, 39, True,8,17,0.15791764888784543
72, 86, -1, 7, 0, False,8,17,0.15829624222931915
91, 89, 1, 7, 2, False,8,17,0.1582962422293189
109, 92, -1, 7, 4, False,8,17,0.15829624222931915
127, 95, 1, 7, 6, False,8,17,0.1582962422293189
146, 98, -1, 7, 8, False,8,17,0.15829624222932032
164, 100, 1, 7, 10, False,8,17,0.1582962422293189
182, 103, -1, 7, 12, False,8,17,0.1582962422293189
201, 106, 1, 7, 14, False,8,17,0.15829624222931982
219, 109, -1, 7, 16, False,8,17,0.1582962422293189
237, 112, 1, 7, 18, False,8,17,0.15829624222932032
256, 115, -1, 7, 20, False,8,17,0.1582962422293189
274, 118, 1, 7, 22, False,8,17,0.15829624222931982
292, 121, -1, 7, 24, False,8,17,0.1582962422293189
311, 124, 1, 7, 26, False,8,17,0.15829624222932032
329, 127, -1, 7, 28, False,8,17,0.15829624222931982
348, 130, 1, 7, 30, False,8,17,0.1582962422293189
