x,y,color,row,column,isHorizontal,width,height,angle(rad)
98, 40, -1, 0, 1, True,14,34,0.17912440920194989
137, 47, 1, 0, 3, True,14,34,0.17869875398907056
176, 54, 1, 0, 5, True,14,34,0.17869875398907056
216, 61, 1, 0, 7, True,14,34,0.1786987539890702
255, 68, 1, 0, 9, True,14,34,0.1786987539890703
294, 75, 1, 0, 11, True,14,34,0.17869875398907045
332, 82, 1, 0, 13, True,14,34,0.17960767875514846
371, 89, 1, 0, 15, True,14,34,0.1796076787551478
409, 96, -1, 0, 17, True,14,34,0.17960767875514846
447, 103, -1, 0, 19, True,14,34,0.17960767875514827
75, 56, -1, 1, 0, False,14,34,0.15826354858668715
114, 62, 1, 1, 2, False,14,34,0.15826354858668684
153, 69, 1, 1, 4, False,14,34,0.17647037491659037
192, 76, -1, 1, 6, False,14,34,0.17647037491659012
232, 83, -1, 1, 8, False,14,34,0.17647037491659012
271, 90, -1, 1, 10, False,14,34,0.1764703749165899
310, 97, -1, 1, 12, False,14,34,0.17647037491659037
348, 104, -1, 1, 14, False,14,34,0.1859794932791914
386, 111, -1, 1, 16, False,14,34,0.18597949327919192
424, 119, -1, 1, 18, False,14,34,0.1859794932791926
462, 126, 1, 1, 20, False,14,34,0.18597949327919192
90, 78, -1, 2, 1, True,14,34,0.13733087629368232
129, 84, -1, 2, 3, True,14,34,0.17425373062703084
169, 91, -1, 2, 5, True,14,34,0.17425373062703095
208, 98, 1, 2, 7, True,14,34,0.17425373062703095
248, 105, -1, 2, 9, True,14,34,0.1742537306270314
287, 112, 1, 2, 11, True,14,34,0.1742537306270321
325, 119, -1, 2, 13, True,14,34,0.19236419152127232
363, 127, 1, 2, 15, True,14,34,0.19236419152127232
402, 134, -1, 2, 17, True,14,34,0.19236419152127246
440, 142, -1, 2, 19, True,14,34,0.19236419152127301
67, 95, -1, 3, 0, False,14,34,0.1394193967231768
106, 100, 1, 3, 2, False,14,34,0.13941939672317685
145, 107, -1, 3, 4, False,14,34,0.17414147614154726
184, 114, 1, 3, 6, False,14,34,0.174141476141547
224, 121, -1, 3, 8, False,14,34,0.17414147614154726
263, 128, -1, 3, 10, False,14,34,0.17414147614154657
302, 135, 1, 3, 12, False,14,34,0.1741414761415461
340, 143, -1, 3, 14, False,14,34,0.19115807514715968
