x,y,color,row,column,isHorizontal,width,height,angle(rad)
112, 23, 1, 0, 1, True,11,18,0.15986661369357677
139, 27, 1, 0, 3, True,11,18,0.1598666136935766
165, 31, -1, 0, 5, True,11,18,0.1598666136935766
191, 35, 1, 0, 7, True,11,18,0.15986661369357694
217, 40, 1, 0, 9, True,11,18,0.15986661369357688
243, 44, -1, 0, 11, True,11,18,0.1598666136935771
269, 48, -1, 0, 13, True,11,18,0.15986661369357694
295, 52, -1, 0, 15, True,11,18,0.15986661369357694
321, 56, -1, 0, 17, True,11,18,0.15986661369357627
348, 61, -1, 0, 19, True,11,18,0.15986661369357694
374, 65, 1, 0, 21, True,11,18,0.15986661369357627
400, 69, -1, 0, 23, True,11,18,0.15986661369357694
97, 34, -1, 1, 0, False,11,18,0.16006766434221492
123, 38, 1, 1, 2, False,11,18,0.16006766434221467
149, 42, -1, 1, 4, False,11,18,0.1600676643422145
175, 47, -1, 1, 6, False,11,18,0.1600676643422145
201, 51, 1, 1, 8, False,11,18,0.16006766434221537
227, 55, -1, 1, 10, False,11,18,0.16006766434221417
253, 59, 1, 1, 12, False,11,18,0.16006766434221484
280, 63, -1, 1, 14, False,11,18,0.16006766434221467
306, 68, 1, 1, 16, False,11,18,0.16006766434221434
332, 72, -1, 1, 18, False,11,18,0.16006766434221537
358, 76, 1, 1, 20, False,11,18,0.16006766434221467
384, 80, -1, 1, 22, False,11,18,0.16006766434221434
410, 84, -1, 1, 24, False,11,18,0.16006766434221467
107, 49, 1, 2, 1, True,11,18,0.16026874031908803
133, 53, -1, 2, 3, True,11,18,0.16026874031908803
159, 58, 1, 2, 5, True,11,18,0.16026874031908786
186, 62, 1, 2, 7, True,11,18,0.16026874031908767
212, 66, -1, 2, 9, True,11,18,0.16026874031908786
238, 70, 1, 2, 11, True,11,18,0.16026874031908817
264, 74, -1, 2, 13, True,11,18,0.16026874031908817
290, 79, 1, 2, 15, True,11,18,0.16026874031908714
316, 83, -1, 2, 17, True,11,18,0.16026874031908817
342, 87, 1, 2, 19, True,11,18,0.16026874031908817
368, 91, -1, 2, 21, True,11,18,0.16026874031908817
394, 96, -1, 2, 23, True,11,18,0.16026874031908817
92, 60, -1, 3, 0, False,11,18,0.16046984161271963
118, 64, -1, 3, 2, False,11,18,0.16046984161271963
144, 69, 1, 3, 4, False,11,18,0.1604698416127198
170, 73, 1, 3, 6, False,11,18,0.16046984161271946
196, 77, -1, 3, 8, False,11,18,0.1604698416127198
222, 81, 1, 3, 10, False,11,18,0.16046984161271946
248, 86, -1, 3, 12, False,11,18,0.1604698416127198
274, 90, 1, 3, 14, False,11,18,0.16046984161271913
300, 94, -1, 3, 16, False,11,18,0.1604698416127198
327, 98, 1, 3, 18, False,11,18,0.1604698416127198
353, 102, -1, 3, 20, False,11,18,0.1604698416127198
379, 107, 1, 3, 22, False,11,18,0.16046984161271913
405, 111, 1, 3, 24, False,11,18,0.1604698416127198
102, 75, -1, 4, 1, True,11,18,0.16067096821162277
128, 80, 1, 4, 3, True,11,18,0.1606709682116238
154, 84, -1, 4, 5, True,11,18,0.1606709682116226
180, 88, -1, 4, 7, True,11,18,0.16067096821162297
206, 92, -1, 4, 9, True,11,18,0.16067096821162363
233, 97, -1, 4, 11, True,11,18,0.1606709682116226
259, 101, 1, 4, 13, True,11,18,0.16067096821162363
285, 105, -1, 4, 15, True,11,18,0.16067096821162297
311, 109, 1, 4, 17, True,11,18,0.16067096821162297
337, 114, -1, 4, 19, True,11,18,0.1606709682116223
363, 118, 1, 4, 21, True,11,18,0.16067096821162297
389, 122, -1, 4, 23, True,11,18,0.16067096821162397
86, 87, 1, 5, 0, False,11,18,0.1608721201042992
112, 91, 1, 5, 2, False,11,18,0.16087212010430024
139, 95, -1, 5, 4, False,11,18,0.16087212010429935
165, 99, 1, 5, 6, False,11,18,0.16087212010429905
191, 103, 1, 5, 8, False,11,18,0.16087212010429935
217, 108, 1, 5, 10, False,11,18,0.16087212010430008
243, 112, 1, 5, 12, False,11,18,0.16087212010430038
269, 116, -1, 5, 14, False,11,18,0.16087212010429872
295, 120, 1, 5, 16, False,11,18,0.16087212010430038
321, 125, -1, 5, 18, False,11,18,0.16087212010429872
347, 129, 1, 5, 20, False,11,18,0.16087212010429935
373, 133, -1, 5, 22, False,11,18,0.1608721201042977
400, 137, 1, 5, 24, False,11,18,0.16087212010429935
97, 102, 1, 6, 1, True,11,18,0.1610732972792395
123, 106, -1, 6, 3, True,11,18,0.16107329727923966
149, 110, 1, 6, 5, True,11,18,0.16107329727923966
175, 115, 1, 6, 7, True,11,18,0.16107329727923966
201, 119, 1, 6, 9, True,11,18,0.16107329727923933
227, 123, -1, 6, 11, True,11,18,0.16107329727923966
253, 127, -1, 6, 13, True,11,18,0.16107329727923966
279, 132, -1, 6, 15, True,11,18,0.161073297279239
306, 136, -1, 6, 17, True,11,18,0.16107329727923966
332, 140, 1, 6, 19, True,11,18,0.16107329727924172
358, 144, -1, 6, 21, True,11,18,0.16107329727923966
384, 148, -1, 6, 23, True,11,18,0.16107329727923966
81, 113, -1, 7, 0, False,11,18,0.16127449972492422
107, 117, -1, 7, 2, False,11,18,0.16127449972492336
133, 121, 1, 7, 4, False,11,18,0.1612744997249244
159, 126, -1, 7, 6, False,11,18,0.16127449972492303
185, 130, 1, 7, 8, False,11,18,0.16127449972492405
212, 134, -1, 7, 10, False,11,18,0.1612744997249254
238, 138, 1, 7, 12, False,11,18,0.16127449972492303
264, 143, -1, 7, 14, False,11,18,0.16127449972492366
290, 147, 1, 7, 16, False,11,18,0.1612744997249254
316, 151, 1, 7, 18, False,11,18,0.16127449972492472
342, 155, -1, 7, 20, False,11,18,0.16127449972492336
368, 160, 1, 7, 22, False,11,18,0.1612744997249254
394, 164, 1, 7, 24, False,11,18,0.1612744997249254
92, 128, 1, 8, 1, True,11,18,0.16147572742981975
118, 132, 1, 8, 3, True,11,18,0.16147572742981872
144, 137, -1, 8, 5, True,11,18,0.1614757274298189
170, 141, 1, 8, 7, True,11,18,0.1614757274298189
196, 145, -1, 8, 9, True,11,18,0.16147572742982064
222, 149, 1, 8, 11, True,11,18,0.16147572742982094
248, 154, -1, 8, 13, True,11,18,0.16147572742982094
274, 158, -1, 8, 15, True,11,18,0.16147572742982028
300, 162, -1, 8, 17, True,11,18,0.1614757274298189
326, 166, -1, 8, 19, True,11,18,0.1614757274298189
353, 171, 1, 8, 21, True,11,18,0.1614757274298189
379, 175, -1, 8, 23, True,11,18,0.16147572742982028
76, 139, 1, 9, 0, False,11,18,0.16167698038238557
102, 143, 1, 9, 2, False,11,18,0.16167698038238368
128, 148, -1, 9, 4, False,11,18,0.1616769803823835
154, 152, 1, 9, 6, False,11,18,0.16167698038238337
180, 156, -1, 9, 8, False,11,18,0.16167698038238368
206, 160, 1, 9, 10, False,11,18,0.16167698038238368
232, 165, -1, 9, 12, False,11,18,0.16167698038238368
259, 169, -1, 9, 14, False,11,18,0.161676980382383
285, 173, 1, 9, 16, False,11,18,0.16167698038238368
311, 178, 1, 9, 18, False,11,18,0.16167698038238368
337, 182, 1, 9, 20, False,11,18,0.16167698038238368
363, 186, -1, 9, 22, False,11,18,0.16167698038238368
389, 190, 1, 9, 24, False,11,18,0.16167698038238573
86, 154, 1, 10, 1, True,11,18,0.16187825857106608
112, 159, -1, 10, 3, True,11,18,0.16187825857106608
138, 163, 1, 10, 5, True,11,18,0.16187825857106608
165, 167, -1, 10, 7, True,11,18,0.16187825857106403
191, 172, 1, 10, 9, True,11,18,0.16187825857106403
217, 176, -1, 10, 11, True,11,18,0.16187825857106608
243, 180, -1, 10, 13, True,11,18,0.16187825857106608
269, 184, 1, 10, 15, True,11,18,0.16187825857106608
295, 189, -1, 10, 17, True,11,18,0.16187825857106608
321, 193, -1, 10, 19, True,11,18,0.16187825857106403
347, 197, -1, 10, 21, True,11,18,0.16187825857106608
373, 201, 1, 10, 23, True,11,18,0.16187825857106608
71, 166, 1, 11, 0, False,11,18,0.16207956198429715
97, 170, -1, 11, 2, False,11,18,0.16207956198429493
123, 174, 1, 11, 4, False,11,18,0.162079561984297
149, 178, -1, 11, 6, False,11,18,0.16207956198429715
175, 183, 1, 11, 8, False,11,18,0.16207956198429513
201, 187, 1, 11, 10, False,11,18,0.16207956198429715
227, 191, -1, 11, 12, False,11,18,0.16207956198429715
253, 195, 1, 11, 14, False,11,18,0.16207956198429715
279, 200, -1, 11, 16, False,11,18,0.16207956198429715
305, 204, 1, 11, 18, False,11,18,0.16207956198429715
332, 208, -1, 11, 20, False,11,18,0.16207956198429715
358, 212, 1, 11, 22, False,11,18,0.16207956198429513
384, 217, -1, 11, 24, False,11,18,0.16207956198429715
81, 181, -1, 12, 1, True,11,18,0.1622808906105032
107, 185, 1, 12, 3, True,11,18,0.1622808906105032
133, 189, -1, 12, 5, True,11,18,0.1622808906105032
159, 194, 1, 12, 7, True,11,18,0.16228089061050285
185, 198, -1, 12, 9, True,11,18,0.16228089061050113
211, 202, -1, 12, 11, True,11,18,0.1622808906105032
238, 206, 1, 12, 13, True,11,18,0.16228089061050113
264, 211, -1, 12, 15, True,11,18,0.1622808906105032
290, 215, 1, 12, 17, True,11,18,0.16228089061050113
316, 219, -1, 12, 19, True,11,18,0.16228089061050252
342, 224, 1, 12, 21, True,11,18,0.1622808906105032
368, 228, -1, 12, 23, True,11,18,0.16228089061050113
65, 192, -1, 13, 0, False,11,18,0.1624822444380971
91, 196, 1, 13, 2, False,11,18,0.16248224443809717
118, 200, -1, 13, 4, False,11,18,0.16248224443809703
144, 205, 1, 13, 6, False,11,18,0.16248224443809717
170, 209, -1, 13, 8, False,11,18,0.16248224443809514
196, 213, 1, 13, 10, False,11,18,0.16248224443809686
222, 218, 1, 13, 12, False,11,18,0.16248224443809717
248, 222, -1, 13, 14, False,11,18,0.16248224443809686
274, 226, 1, 13, 16, False,11,18,0.16248224443809717
300, 230, -1, 13, 18, False,11,18,0.16248224443809514
326, 235, 1, 13, 20, False,11,18,0.16248224443809717
