first row vertical
 , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , , , ,-1, ,-1, , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , ,1, ,1, ,1, ,-1, , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , , , ,-1, , , ,1, ,-1, , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , ,1, ,1, ,1, ,-1, , , ,-1, , , , , , , , , , , , ,
 , , , , , , , , , , , , , , ,-1, ,1, , , ,1, ,-1, ,1, ,-1, , , , , , , , , , , ,
 , , , , , , , , , , , , , ,1, , , ,-1, ,-1, , , ,-1, , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,1, ,-1, ,1, , , ,-1, ,1, ,-1, ,-1, ,-1, , , , , , , , , ,
 , , , , , , , , , , , ,-1, , , ,-1, ,1, ,-1, ,1, , , ,1, ,1, , , , , , , , , , ,
 , , , , , , , , , , , , ,-1, ,1, , , ,-1, , , ,-1, ,-1, , , ,-1, ,-1, , , , , , , ,
 , , , , , , , , , ,1, ,-1, ,-1, ,1, ,-1, ,1, ,1, ,-1, ,1, ,-1, ,1, ,1, , , , , , ,
 , , , , , , , , , , ,1, , , ,-1, ,-1, , , ,-1, ,1, , , ,1, , , ,1, ,-1, , , , , ,
 , , , , , , , ,1, ,1, ,1, ,1, , , ,1, ,1, , , ,1, ,1, ,1, ,-1, , , ,-1, , , , ,
 , , , , , , ,-1, ,-1, , , ,-1, ,-1, ,-1, ,1, ,-1, ,-1, ,-1, , , ,-1, ,-1, ,-1, ,-1, , , ,
 , , , , , ,-1, , , ,1, ,1, , , ,1, , , , , ,1, , , ,1, ,1, , , ,1, , , , , , ,
 , , , , ,1, ,-1, ,1, , , ,-1, ,-1, ,1, ,-1, ,-1, ,1, ,-1, , , ,1, ,-1, ,1, ,-1, ,-1, ,
 , , , ,-1, , , ,-1, ,1, ,-1, ,1, , , ,1, ,1, , , ,1, ,-1, ,1, ,1, , , ,1, ,-1, , ,
 , , , , ,-1, ,1, , , ,1, , , ,1, ,-1, , , ,1, ,-1, , , ,-1, , , ,1, ,-1, , , ,-1, ,
 , ,1, ,-1, ,-1, ,1, ,-1, ,1, ,-1, ,1, ,1, ,-1, ,1, ,-1, ,1, ,-1, ,-1, ,1, ,-1, ,1, , ,
 , , ,-1, , , ,-1, ,1, , , ,1, ,-1, , , ,1, , , ,1, ,-1, , , ,-1, ,-1, , , ,-1, , , ,
1, ,-1, ,1, ,1, , , ,1, ,-1, , , ,-1, ,-1, ,1, ,-1, , , ,-1, ,1, , , ,-1, ,1, , , , ,
 ,1, , , ,-1, ,1, ,-1, ,1, ,-1, ,1, ,-1, , , ,1, ,-1, ,1, ,-1, ,-1, ,1, ,-1, , , , , ,
 , ,1, ,1, , , ,1, , , , , ,-1, , , ,-1, ,-1, , , ,-1, , , , , ,-1, , , , , , , , ,
 , , , , ,1, ,-1, ,1, ,-1, ,1, ,-1, ,1, , , ,-1, ,1, ,-1, ,-1, ,1, ,-1, , , , , , , ,
 , , , ,-1, ,1, , , ,1, ,-1, , , ,-1, ,1, ,1, ,-1, , , ,-1, ,-1, , , , , , , , , , ,
 , , , , , , ,-1, ,-1, , , ,-1, ,1, , , ,1, , , ,-1, ,1, , , ,-1, , , , , , , , , ,
 , , , , , ,-1, ,1, ,1, ,1, ,-1, ,1, ,-1, ,1, ,1, ,-1, ,1, ,1, , , , , , , , , , ,
 , , , , , , ,-1, , , ,1, , , ,-1, ,1, , , ,-1, ,1, , , ,-1, , , , , , , , , , , ,
 , , , , , , , ,1, ,-1, ,1, ,1, , , ,1, ,1, , , ,1, ,1, , , , , , , , , , , , ,
 , , , , , , , , ,-1, , , ,-1, ,1, ,-1, ,1, ,1, ,-1, ,1, , , , , , , , , , , , , ,
 , , , , , , , , , ,1, ,1, , , ,1, , , , , ,1, , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,1, ,-1, ,-1, ,1, ,-1, ,1, , , , , , , , , , , , , , , ,
 , , , , , , , , , , , ,-1, ,1, , , ,-1, ,1, , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , ,-1, ,1, , , ,1, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,1, ,-1, ,1, ,-1, , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , ,1, ,-1, , , , , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,
